2021-07-15 14:26:34,877 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:26:40,157 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:26:40,166 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:26:41,408 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:26:41,427 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:26:47,030 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).comfex_site(753) - <ошибка> 'NoneType' object has no attribute 'find'
2021-07-15 14:26:47,030 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:27:03,598 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:27:07,888 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 14:27:07,902 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:27:07,903 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:27:08,842 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0816500000621007929, list index out of range
2021-07-15 14:27:24,003 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:27:29,324 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 14:27:29,337 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:27:29,338 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:27:46,602 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:42:55,756 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).read_document(189) - нет данных документа <None>
2021-07-15 14:42:55,756 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(221) - ошибка нет данных документа
2021-07-15 14:42:55,758 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:43:47,243 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).read_document(189) - нет данных документа <None>
2021-07-15 14:43:47,244 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(221) - ошибка нет данных документа
2021-07-15 14:43:47,245 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:44:01,958 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0816500000621007929, list index out of range
2021-07-15 14:44:39,281 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:44:52,324 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:44:52,340 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:45:00,740 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:45:00,756 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:45:12,982 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [403]>
2021-07-15 14:45:12,985 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:45:12,985 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:46:01,215 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).read_document(189) - нет данных документа <None>
2021-07-15 14:46:01,215 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(221) - ошибка нет данных документа
2021-07-15 14:46:01,216 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:46:59,648 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [403]>
2021-07-15 14:46:59,650 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:47:57,602 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:47:57,811 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:48:58,944 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).read_document(189) - нет данных документа <None>
2021-07-15 14:48:58,945 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(221) - ошибка нет данных документа
2021-07-15 14:48:58,946 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:49:54,962 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:50:45,972 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).read_document(189) - нет данных документа <None>
2021-07-15 14:50:45,972 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(221) - ошибка нет данных документа
2021-07-15 14:50:45,973 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:51:39,271 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).read_document(189) - нет данных документа <None>
2021-07-15 14:51:39,272 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(221) - ошибка нет данных документа
2021-07-15 14:51:39,273 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:52:09,032 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0119300019821001145, HTTPSConnectionPool(host='zakupki.gov.ru', port=443): Max retries exceeded with url: //epz/orderplan/pg2020/position-info.html?revision-id=4591877&position-number=202103196000015002000020 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001597DBB5700>: Failed to establish a new connection: [Errno 11004] getaddrinfo failed'))
2021-07-15 14:52:29,356 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:52:57,643 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:53:03,030 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:53:03,049 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
